Ne sont listées que les entrées dont l'ancien et le nouveau NCCENR diffèrent

+-----+----------+---------------+---------------+--------------------------+--------------------------+
|     |   loc_id |   old_villeId |   new_villeId | old_NCCENR               | new_NCCENR               |
| 629 |     1505 |         33290 |         37375 | Saint-Ouen               | Saint-Ouen-sur-Seine     |
| 630 |     1506 |         37563 |         31674 | Paris 15                 | Paris 15e Arrondissement |
| 631 |     1507 |         33290 |         37375 | Saint-Ouen               | Saint-Ouen-sur-Seine     |
| 635 |     1511 |         33290 |         37375 | Saint-Ouen               | Saint-Ouen-sur-Seine     |
| 636 |     1512 |         33290 |         37375 | Saint-Ouen               | Saint-Ouen-sur-Seine     |
| 638 |     1514 |         37563 |         31674 | Paris 15                 | Paris 15e Arrondissement |
| 639 |     1515 |         37563 |         31674 | Paris 15                 | Paris 15e Arrondissement |
| 640 |     1516 |         37563 |         31674 | Paris 15                 | Paris 15e Arrondissement |
| 645 |     1555 |         37563 |         31674 | Paris 15                 | Paris 15e Arrondissement |
+-----+----------+---------------+---------------+--------------------------+--------------------------+

